top - 01:27:59 up  1:54,  4 users,  load average: 3.63, 1.55, 0.99
Tasks: 217 total,   2 running, 207 sleeping,   8 stopped,   0 zombie
%Cpu(s):  6.5 us, 38.7 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi, 54.8 si,  0.0 st 
MiB Mem :   3403.7 total,    125.1 free,   2344.7 used,    793.3 buff/cache     
MiB Swap:   3915.0 total,   3579.2 free,    335.8 used.   1059.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   9475 anass     20   0 2567436 174728  78308 S   0.0   5.0   0:25.23 Privile+
   9485 anass     20   0  449368  30904  25672 S   0.0   0.9   0:00.10 RDD Pro+
   9801 anass     20   0 2466748  77160  57852 S   0.0   2.2   0:01.80 WebExte+
   9986 anass     20   0  449620  31980  26492 S   0.0   0.9   0:00.17 Utility+
  10438 anass     20   0 2686500 194784  82672 S   0.0   5.6   0:26.87 Isolate+
  10529 anass     20   0 2465180  89052  58452 S   0.0   2.6   0:10.93 Isolate+
  10687 root      20   0       0      0      0 I   0.0   0.0   0:05.88 kworker+
  10754 sysadmin  20   0   14344   4732   4604 T   0.0   0.1   0:00.00 git
  10755 sysadmin  20   0   14344   3804   3676 T   0.0   0.1   0:00.00 git
  10756 sysadmin  20   0  112212   9168   8708 T   0.0   0.3   0:00.15 git-rem+
  10950 root      20   0   32612   9352   8328 S   0.0   0.3   0:00.05 cupsd
  10951 cups-br+  20   0  209372  13888  12864 S   0.0   0.4   0:00.05 cups-br+
  11585 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  11724 anass     20   0 2714588  61768  48720 S   0.0   1.8   0:00.73 gjs
  11826 root      20   0       0      0      0 I   0.0   0.0   0:02.86 kworker+
  12299 anass     20   0 2424804  64676  53460 S   0.0   1.9   0:00.29 Web Con+
  12377 anass     20   0 2424804  65512  53912 S   0.0   1.9   0:00.38 Web Con+
  12413 anass     20   0 2424800  65328  53728 S   0.0   1.9   0:00.10 Web Con+
  12741 sysadmin  20   0   12364   3596   1948 T   0.0   0.1   0:00.00 bash
  12742 sysadmin  20   0   41152  22436  13860 T   0.0   0.6   0:00.16 command+
  12819 sysadmin  20   0   14344   4604   4348 T   0.0   0.1   0:00.00 git
  12820 sysadmin  20   0   14344   3740   3612 T   0.0   0.1   0:00.00 git
  12821 sysadmin  20   0  112216  20140  10592 T   0.0   0.6   0:00.06 git-rem+
  12882 root      20   0       0      0      0 I   0.0   0.0   0:00.36 kworker+
  12886 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12898 root      20   0       0      0      0 I   0.0   0.0   0:00.53 kworker+
  12955 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  13054 root      20   0       0      0      0 I   0.0   0.0   0:00.54 kworker+
  13089 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
